QUAN_ACERTOS;MÍNIMO;MÉDIA;MÁXIMO;QUANTIDADE
0;0;59,06;327,1;1091
1;327,1;337,28;371,4;945
2;327,1;346,05;406,5;3951
3;327,1;355,39;439,3;12775
4;327,1;366,61;471,3;32188
5;327,3;378,07;503,8;63885
6;327,4;391,11;525,8;105711
7;327,5;405,67;547;152809
8;327,8;422,11;568,8;192543
9;328,6;440,34;587,8;219326
10;329,9;460,43;606,5;226837
11;329,5;482,49;618,4;218271
12;333,2;506,15;630,3;199207
13;335,7;530,4;645,7;173008
14;338,1;554,34;650,8;145976
15;345,1;576,65;667;121068
16;349,5;597,71;674,2;99501
17;359,3;615,91;685;81181
18;371,5;632,41;699,1;66329
19;425,4;646,97;705,9;55233
20;429,7;660;713,1;46223
21;447,1;672,2;723,3;39286
22;533,7;683,97;737;33230
23;582;695,02;744,6;28758
24;613,2;705,64;751,6;24597
25;628;716,51;759,8;21651
26;659,5;727,01;769,8;19212
27;669,3;737,53;780,2;16937
28;672,1;747,97;790,3;14965
29;684,8;758,22;796,4;13448
30;714;768,84;806,6;12012
31;724,8;779,4;816,5;10527
32;740,1;790,4;827,7;9498
33;734,3;801,25;838;8148
34;758,4;813,16;849,8;7195
35;769,8;825,08;868,5;6372
36;795,4;837,55;871,2;5588
37;796,9;851,04;887,8;4633
38;817;864,85;900,8;3986
39;840,5;880,7;913,1;3022
40;861,9;897,54;927,6;2382
41;871,8;915,62;945,4;1719
42;902,1;935,41;957,3;1176
43;933,3;956,26;966,6;569
44;975;975;975;224
45;;;;0
